Name MC MP
Bitcoin 1,276,664,929,383 63%
Ethereum 371,759,997,791 18%
Tether 109,537,492,737 5%
BNB 83,596,391,854 4%
Solana 64,309,885,322 3%
USDC 33,166,852,628 2%
XRP 27,491,411,279 1%
Toncoin 24,845,122,030 1%
Dogecoin 21,872,332,082 1%
Cardano 16,487,139,064 1%
